Date,ABNB,AMZN,BX,CTAS,CVX,GM,GOOG,NVDA,UBER
2010-07-22,,1801458233.4213257,20082986.417102814,31386965.65246582,406784931.89811707,,1041226459.4995308,111817547.26867676,
2010-07-23,,5042596192.601204,16877053.07865143,24335049.241638184,359217678.1299591,,1109691918.6421938,194247402.31332776,
2010-07-26,,1318715536.994934,20977115.715265274,22385347.54600525,279816509.68170166,,975592992.9319382,165376591.11204147,
2010-07-27,,913157216.1970139,16126502.955007553,16286215.887451172,356440238.79241943,,1207534676.4127808,163947524.65782166,
2010-07-28,,640970515.2826309,18703311.244869232,24803683.029174805,323886377.54364014,,1208937593.2488203,306832730.13210297,
2010-07-29,,721703979.9900055,10403097.792625427,25055389.910507206,588311474.7619628,,1297590674.8014116,557872629.6661377,
2010-07-30,,834366443.6817169,24252664.78061676,21119596.63295746,749246924.3621826,,1039566862.2673845,207438820.84579468,
2010-08-02,,653625057.3387146,19845919.794797897,25118239.75830078,535167180.0003052,,911525062.7374411,193051754.82320786,
2010-08-03,,728864173.7422943,7459052.093744278,28834397.31121063,537662153.9459229,,882820576.2177763,195882302.8295517,
2010-08-04,,1182768698.6579895,6560649.981069565,29772872.589874268,369650539.4077301,,1930345024.7104425,182846425.91018677,
2010-08-05,,547406408.6732864,6825063.491106034,24441601.89819336,426603756.77490234,,1229805221.7142296,173295753.0944824,
2010-08-06,,649966452.7931213,8007957.440757752,28368388.968276978,410261455.0186157,,1660480278.289795,162043337.48321533,
2010-08-09,,655203633.0127716,8120590.021133423,21678545.837402344,322532613.6199952,,946116219.0646391,103119385.07232666,
2010-08-10,,741897000.0,14637633.405303955,24908011.294364925,385299242.3274994,,1044694557.8577404,163702992.57659912,
2010-08-11,,697644599.0476608,14682898.835420609,26302482.366371155,473611470.25451666,,1093138012.2188644,162128439.24160004,
2010-08-12,,552801429.9983978,23856163.586854935,24972138.79547119,401892569.878006,,1084685280.517044,276073878.79333496,
2010-08-13,,495842248.53897095,17972657.605409622,21513078.060150143,318102959.04922485,,940941334.1653023,387044555.2391052,
2010-08-16,,507393943.1247711,12271086.246204376,22602521.101379395,328253681.5795899,,633694916.8444347,170805587.10594177,
2010-08-17,,650060025.8350372,11275749.363899231,24191443.384933468,335025001.9569397,,927426163.6793519,102300910.43643951,
2010-08-18,,1024429487.0567322,8647327.641105652,21029668.488693237,374638500.1098633,,1295247674.9239483,75430113.79623413,
2010-08-19,,712159523.2963562,11727974.01638031,25071009.249305725,393739500.5973816,,1836782304.0122273,365938999.4978905,
2010-08-20,,532771976.95446014,7413320.523262024,24381957.409286503,408657677.1972656,,1810009634.082556,298442426.06716156,
2010-08-23,,488840574.1081238,19530560.83316803,23564819.135284424,438869073.9013672,,1385805795.7452393,168587499.69291687,
2010-08-24,,668688744.6870804,16569254.487419128,38970005.10005951,486291356.89086914,,1247055156.1396036,142955737.422657,
2010-08-25,,677949847.4264145,10712428.832864761,54802278.112602234,421021668.18466187,,1178420473.030158,172331655.9947014,
